Date,Home,Away,Home_Score,Away_Score,Final_Score,Link,first_goal_min
,Rennes,Strasbourg,1,0,1-0,https://ca.soccerway.com/matches/2025/02/02/france/ligue-1/rennes/strasbourg/4372924/,89
,Nantes,Brest,0,2,0-2,https://ca.soccerway.com/matches/2025/02/07/france/ligue-1/nantes/brest/4372927/,9
,Nice,Lens,2,0,2-0,https://ca.soccerway.com/matches/2025/02/08/france/ligue-1/nice/lens/4372934/,10
,Lille,Le Havre,1,2,1-2,https://ca.soccerway.com/matches/2025/02/08/france/ligue-1/lille/le-havre/4372929/,97
,Saint-Étienne,Rennes,0,2,0-2,https://ca.soccerway.com/matches/2025/02/08/france/ligue-1/saint-tienne/rennes/4372930/,15
,Strasbourg,Montpellier,2,0,2-0,https://ca.soccerway.com/matches/2025/02/09/france/ligue-1/strasbourg/montpellier/4372928/,47
,Toulouse,PSG,0,1,0-1,https://ca.soccerway.com/matches/2025/02/15/france/ligue-1/toulouse/psg/4372935/,52
,Lens,Strasbourg,0,2,0-2,https://ca.soccerway.com/matches/2025/02/16/france/ligue-1/lens/strasbourg/4372938/,81
,Reims,Angers,0,1,0-1,https://ca.soccerway.com/matches/2025/02/16/france/ligue-1/reims/angers/4372941/,46
,Rennes,Reims,1,0,1-0,https://ca.soccerway.com/matches/2025/02/21/france/ligue-1/rennes/reims/4372944/,10
,Lille,Monaco,2,1,2-1,https://ca.soccerway.com/matches/2025/02/22/france/ligue-1/lille/monaco/4372946/,22
,Auxerre,Marseille,3,0,3-0,https://ca.soccerway.com/matches/2025/02/22/france/ligue-1/auxerre/marseille/4372950/,34
,Nice,Montpellier,2,0,2-0,https://ca.soccerway.com/matches/2025/02/23/france/ligue-1/nice/montpellier/4372951/,30
,Strasbourg,Brest,0,0,0-0,https://ca.soccerway.com/matches/2025/02/23/france/ligue-1/strasbourg/brest/4372947/,
,Monaco,Reims,3,0,3-0,https://ca.soccerway.com/matches/2025/02/28/france/ligue-1/monaco/reims/4372960/,34
,Lyon,Brest,2,1,2-1,https://ca.soccerway.com/matches/2025/03/02/france/ligue-1/lyon/brest/4372955/,24
,Auxerre,Strasbourg,0,1,0-1,https://ca.soccerway.com/matches/2025/03/02/france/ligue-1/auxerre/strasbourg/4372959/,47
,Toulouse,Monaco,1,1,1-1,https://ca.soccerway.com/matches/2025/03/07/france/ligue-1/toulouse/monaco/4372965/,91
,Lille,Montpellier,1,0,1-0,https://ca.soccerway.com/matches/2025/03/08/france/ligue-1/lille/montpellier/4372968/,50
,Marseille,Lens,0,1,0-1,https://ca.soccerway.com/matches/2025/03/08/france/ligue-1/marseille/lens/4372970/,94
